Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
24/03/1992 00:00	180	-1	0.524		PP		
21/04/1992 00:00	181	9.7	1.21		PP		
20/05/1992 00:00	182	-2.3	0.401		PP		
16/06/1992 00:00	183	6	0.773		PP		
15/07/1992 00:00	184	8.7	0.767		PP		
10/08/1992 00:00	185	-5	0.18		PP		
07/09/1992 00:00	186	-7	0.251		PP		
03/11/1992 00:00	187	34.5	3.19		PP		
01/12/1992 11:05	189	67	9.09		PP		
26/01/1993 10:50	190	18.2	2.46		PP		
23/02/1993 00:00	191	9.2	1.55		PP		
25/03/1993 10:50	192	4.2	1.01		PP		
20/04/1993 09:40	193	4.5	1.05		PP		
18/05/1993 11:25	194	8.5	0.827		PP		
14/06/1993 10:40	195	16	1.02		PP		
13/07/1993 11:15	196	14.2	0.778		PP		
10/08/1993 10:40	197	2	0.289		PP		
07/09/1993 10:20	198	-4.5	0.192		PP		
05/10/1993 10:40	199	42.5	4.65		PP		
02/11/1993 10:50	200	30	3.35		PP		
30/11/1993 10:45	201	13.5	1.88		PP		
24/01/1994 10:15	202	51.5	7.18		PP		
22/02/1994 10:30	203	106.8	18.3		SI		
21/03/1994 10:40	204	29.5	4.2		PP		
19/04/1994 10:40	205	63.5	10.1		PP		
17/05/1994 10:40	206	35.2	4.98		PP		
14/06/1994 10:30	207	17.5	2.75		PP		
12/07/1994 11:15	208	-2.5	0.849		PP		
09/08/1994 10:40	209	-3.9	0.779		PP		
05/09/1994 10:40	210	-5	0.639		PP		
04/10/1994 10:40	211	16.2	2.38		PP		
02/11/1994 10:55	212	8.5	1.75		PP		
29/11/1994 11:00	213	34	4.74		PP		
27/12/1994 10:35	214	24	3.62		PP		
21/02/1995 10:30	215	63	9.74		PP		
20/03/1995 15:35	216	126.5	23.1		SI		
06/04/1995 15:05	217	35.2	4.82		PP		
18/04/1995 10:55	218	20.2	2.84		PP		
16/05/1995 10:30	219	17.2	2.46		PP		
13/06/1995 10:30	220	8	1.52		PP		
11/07/1995 11:15	221	-4.7	0.548		PP		
27/07/1995 16:00	222	-9.8	0.282		PP		
07/08/1995 10:20	223	-11.3	0.265		PP		
05/09/1995 10:15	224	-11.7	0.307		PP		
03/10/1995 10:45	225	-7.7	0.431		PP		
