Date	No_jaugeage	h(cm)	Q(m3/s)	DHt(cm)	Mode	Inc_debit_valide_rel	Inc_debit_calcul_rel
30/01/2013 09:10	182	61.5	6.6		AP		
12/03/2013 13:45	183	67.3	8.28		AP		
24/04/2013 12:25	184	75	10.7		AP		
30/05/2013 08:00	185	92	18.1		AP		
12/06/2013 11:55	186	104	25.6		AP		
15/07/2013 13:15	187	44	2.89		AP		
29/08/2013 12:25	188	56	5.18		AP		
24/10/2013 14:40	189	62.5	6.94		AP		
26/11/2013 08:30	190	62	6.49		AP		
07/01/2014 08:30	191	92.5	19.1		AP		
19/02/2014 13:45	192	100	24.1		AP		
25/03/2014 08:45	193	76	10.8		AP		
05/05/2014 12:25	194	53	4.35		AP		
17/06/2014 12:30	195	52.5	4.23		AP		
17/07/2014 07:55	196	52.2	4.24		AP		
16/09/2014 09:00	197	68	8.44		AP		
29/10/2014 13:55	198	61.2	6.58		AP		
02/12/2014 12:50	199	130	44.3		AP		
20/01/2015 09:00	200	63	7		AP		
03/03/2015 08:35	201	95.5	20.7		AP		
07/04/2015 13:35	202	67	7.35	-3	AP		
19/05/2015 12:30	203	59.5	4.95	-4.5	AP		
23/06/2015 12:15	204	59	4.31	-6.4	AP		
20/07/2015 11:55	205	80.5	11.7	-3.7	AP		
28/07/2015 13:00	206	80.5	11.8	-3.6	AP		
19/08/2015 09:00	207	72.5	9.37	-2	AP		
01/09/2015 12:35	208	68	7.92	-2	AP		
21/09/2015 14:10	209	50.9	4.05		AP		
14/10/2015 03:55	210	56	5.23		AP		
26/11/2015 08:40	211	61	6.71		AP		
30/12/2015 13:40	212	55.3	5.08		AP		
17/02/2016 08:50	213	54	4.75		AP		
16/03/2016 13:10	214	53.2	4.72		AP		
06/04/2016 14:35	215	166	84.9		AP		
25/05/2016 09:15	216	69.5	9.16		AP		
14/06/2016 14:15	217	59	5.81		AP		
28/07/2016 08:20	218	63.3	6.67	-2	AP		
31/08/2016 12:25	219	80	12.5	-2	AP		
19/10/2016 11:40	220	73.5	10.3		AP		
07/12/2016 13:05	221	77	12.3		AP		
11/01/2017 13:20	222	57.9	6.19		AP		
13/02/2017 14:20	223	102	22.8		AU		
21/02/2017 13:25	224	99.5	23.2		AP		
06/04/2017 11:50	225	83	14.9		AP		
18/05/2017 12:45	226	89	17.9		AP		
07/06/2017 13:30	227	53.2	4.6		AP		
30/06/2017 08:50	228	53.5	4.45	-1	AP		
03/08/2017 07:45	229	72.7	9.48	-2	AP		
05/09/2017 15:00	230	72.8	9.5	-2	AP		
16/10/2017 08:00	231	68.5	8.02	-2.5	AP		
09/11/2017 14:00	232	51.9	4.06		AP		
29/11/2017 13:45	233	47.5	3.1		AP		
17/01/2018 08:35	234	67	8.18		AP		
15/02/2018 08:50	235	65	7.57		AP		
13/03/2018 14:15	236	124.5	40.8		AP		
23/03/2018 12:10	237	82.1	14.1		AP		
09/05/2018 07:25	238	78.9	11.8	-2	AP		
20/06/2018 12:30	239	82	11.8	-5	AP		
12/07/2018 12:15	240	59	5.01	-4	AP		
24/07/2018 13:05	241	49.5	3.11	-3.5	AP		
06/08/2018 13:15	242	81	12.1	-3	AU		
04/09/2018 12:05	243	78.6	11.7	-2	AP		
04/10/2018 06:55	244	72	9.26	-2	AP		
24/10/2018 13:00	245	72	8.25	-5	AP		
28/11/2018 12:30	246	102.5	24.9		AP		
15/01/2019 08:15	247	56.5	5.5		AP		
20/02/2019 14:20	248	62.5	7.28		AP		
03/04/2019 13:35	249	54.5	5.11		AP		
15/05/2019 12:20	250	65.7	8.34		AP		
12/06/2019 07:30	251	50.5	3.92		AP		
15/07/2019 15:10	252	76.5	11.6	-1.2	AP		
05/08/2019 09:55	253	39	1.65	-2	AP	7	
23/10/2019 13:15	254	108	27.9	-2	AP		
28/11/2019 13:30	255	120	33.9	-1.8	AP		
29/01/2020 13:10	256	74.5	10.4		AP		
04/03/2020 09:00	257	56.7	5.61		AP		
12/05/2020 13:15	258	62.5	6.59		AP	7	
